EventId,Date,Time,Period,Actual,Forecast,Previous
EUR::French HICP::y/y,2024-03-29,15:45,,2.4%,2.8%,3.2%
PLN::CPI::m/m,2024-03-29,17:00,mar,0.2%,0.4%,0.1%
PLN::CPI::y/y,2024-03-29,17:00,mar,1.9%,2.2%,6.2%
EUR::Greek Retail Sales::y/y,2024-03-29,18:00,jan,-8.9%,,0.8%
EUR::Greek PPI::y/y,2024-03-29,18:00,feb,-4.3%,,-7.0%
EUR::Italian CPI::m/m,2024-03-29,18:00,mar,0.1%,0.1%,0.1%
EUR::Italian CPI::y/y,2024-03-29,18:00,mar,1.3%,1.4%,0.8%
EUR::Italian HICP::m/m,2024-03-29,18:00,mar,1.2%,1.4%,0.0%
EUR::Italian HICP::y/y,2024-03-29,18:00,mar,1.3%,1.5%,0.8%
VND::Vietnamese Foreign Direct Investment (USD)::none,2024-03-29,18:00,,4.60B,,2.80B
BRL::Long Term Interest Rate TJLP::none,2024-03-29,19:00,q2,6.67%,,6.53%
"INR::FX Reserves, USD::none",2024-03-29,19:30,,642.63B,,642.49B
INR::RBI Monetary and Credit Information Review::none,2024-03-29,19:30,,,,
MUR::GDP Annual::none,2024-03-29,20:00,,7.00%,,8.90%
USD::Core PCE Price Index::m/m,2024-03-29,20:30,feb,0.3%,0.3%,0.5%
USD::Core PCE Price Index::y/y,2024-03-29,20:30,feb,2.8%,2.8%,2.9%
USD::Goods Trade Balance::none,2024-03-29,20:30,feb,-91.84B,-90.10B,-90.51B
USD::PCE Price index::y/y,2024-03-29,20:30,feb,2.5%,2.5%,2.4%
USD::PCE price index::m/m,2024-03-29,20:30,feb,0.3%,0.4%,0.4%
USD::Personal Income::m/m,2024-03-29,20:30,feb,0.3%,0.4%,1.0%
USD::Personal Spending::m/m,2024-03-29,20:30,feb,0.8%,0.5%,0.2%
USD::Real Personal Consumption::m/m,2024-03-29,20:30,feb,0.4%,,-0.2%
USD::Retail Inventories Ex Auto::none,2024-03-29,20:30,feb,0.4%,,0.3%
USD::Wholesale Inventories::m/m,2024-03-29,20:30,feb,0.5%,0.2%,-0.3%
USD::Dallas Fed PCE::none,2024-03-29,21:00,feb,3.40%,,5.70%
KES::CPI::y/y,2024-03-29,22:00,mar,5.70%,,6.30%
USD::OPEC Crude Oil Production Algeria (Barrel)::none,2024-03-29,22:00,,0.90M,,0.91M
USD::OPEC Crude Oil Production Congo (Barrel)::none,2024-03-29,22:00,,0.25M,,0.25M
USD::OPEC Crude Oil Production Gabon (Barrel)::none,2024-03-29,22:00,,0.21M,,0.21M
USD::OPEC Crude Oil Production Guinea (Barrel)::none,2024-03-29,22:00,,0.05M,,0.06M
USD::OPEC Crude Oil Production Kuwait (Barrel)::none,2024-03-29,22:00,,2.41M,,2.43M
USD::OPEC Crude Oil Production Libya (Barrel)::none,2024-03-29,22:00,,1.17M,,1.02M
USD::OPEC Crude Oil Production Nigeria (Barrel)::none,2024-03-29,22:00,,1.57M,,1.42M
USD::OPEC Crude oil Production Iran (Barrel)::none,2024-03-29,22:00,,3.03M,,3.16M
USD::OPEC Crude oil Production Iraq (Barrel)::none,2024-03-29,22:00,,4.13M,,4.19M
USD::OPEC Crude oil Production Saudi Arabia (Barrel)::none,2024-03-29,22:00,,8.98M,,8.97M
USD::OPEC Crude oil Production UAE (Barrel)::none,2024-03-29,22:00,,2.92M,,2.93M
USD::OPEC Crude oil Production Venezuela (Barrel)::none,2024-03-29,22:00,,0.80M,,0.80M
USD::FOMC Member Daly Speaks::none,2024-03-29,23:20,,,,
USD::Fed Chair Powell Speaks::none,2024-03-29,23:30,,,,
UAH::Current Account (USD)::none,2024-03-30,00:00,feb,-0.600B,,-0.461B
USD::Atlanta Fed GDPNow::none,2024-03-30,00:30,q1,2.3%,2.1%,2.1%
AUD::CFTC AUD speculative net positions::none,2024-03-30,03:30,,-105.5K,,-107.5K
USD::CFTC Aluminium speculative net positions::none,2024-03-30,03:30,,3.3K,,2.5K
BRL::CFTC BRL speculative net positions::none,2024-03-30,03:30,,8.7K,,10.3K
CAD::CFTC CAD speculative net positions::none,2024-03-30,03:30,,-50.3K,,-37.1K
CHF::CFTC CHF speculative net positions::none,2024-03-30,03:30,,-22.0K,,-20.5K
USD::CFTC Copper speculative net positions::none,2024-03-30,03:30,,23.1K,,31.9K
USD::CFTC Corn speculative net positions::none,2024-03-30,03:30,,-178.0K,,-175.5K
USD::CFTC Crude Oil speculative net positions::none,2024-03-30,03:30,,278.0K,,277.8K
EUR::CFTC EUR speculative net positions::none,2024-03-30,03:30,,31.2K,,48.3K
GBP::CFTC GBP speculative net positions::none,2024-03-30,03:30,,35.2K,,53.2K
USD::CFTC Gold speculative net positions::none,2024-03-30,03:30,,199.3K,,201.6K
JPY::CFTC JPY speculative net positions::none,2024-03-30,03:30,,-129.1K,,-116.0K
MXN::CFTC MXN speculative net positions::none,2024-03-30,03:30,,132.1K,,128.7K
NZD::CFTC NZD speculative net positions::none,2024-03-30,03:30,,-6.0K,,-0.2K
USD::CFTC Nasdaq 100 speculative net positions::none,2024-03-30,03:30,,-7.1K,,11.2K
USD::CFTC Natural Gas speculative net positions::none,2024-03-30,03:30,,-117.3K,,-103.6K
USD::CFTC S&P 500 speculative net positions::none,2024-03-30,03:30,,-169.4K,,-194.2K
USD::CFTC Silver speculative net positions::none,2024-03-30,03:30,,50.8K,,52.4K
USD::CFTC Soybeans speculative net positions::none,2024-03-30,03:30,,-153.7K,,-167.7K
USD::CFTC Wheat speculative net positions::none,2024-03-30,03:30,,-61.7K,,-56.1K
CNY::Chinese Composite PMI::none,2024-03-31,09:30,mar,52.7,,50.9
CNY::Manufacturing PMI::none,2024-03-31,09:30,mar,50.8,50.1,49.1
CNY::Non-Manufacturing PMI::none,2024-03-31,09:30,mar,53.0,51.3,51.4
NA::Argentina - Market Holiday::none,2024-04-01,All Day,,,,
NA::Australia - Easter::none,2024-04-01,All Day,,,,
NA::Austria - Easter::none,2024-04-01,All Day,,,,
NA::Belgium - Easter::none,2024-04-01,All Day,,,,
NA::Bosnia-Herzegovina - Easter::none,2024-04-01,All Day,,,,
NA::Botswana - Easter::none,2024-04-01,All Day,,,,
NA::Croatia - Easter::none,2024-04-01,All Day,,,,
NA::Cyprus - National Day::none,2024-04-01,All Day,,,,
NA::Czech Republic - Easter::none,2024-04-01,All Day,,,,
NA::Denmark - Easter::none,2024-04-01,All Day,,,,
NA::Estonia - Easter::none,2024-04-01,All Day,,,,
NA::Finland - Easter::none,2024-04-01,All Day,,,,
NA::France - Easter::none,2024-04-01,All Day,,,,
NA::Germany - Easter::none,2024-04-01,All Day,,,,
NA::Greece - Easter::none,2024-04-01,All Day,,,,
NA::Hong Kong - Easter::none,2024-04-01,All Day,,,,
NA::Hungary - Easter::none,2024-04-01,All Day,,,,
NA::Iceland - Easter::none,2024-04-01,All Day,,,,
NA::Ireland - Easter::none,2024-04-01,All Day,,,,
NA::Italy - Easter::none,2024-04-01,All Day,,,,
NA::Jamaica - Easter::none,2024-04-01,All Day,,,,
NA::Kenya - Easter::none,2024-04-01,All Day,,,,
NA::Latvia - Easter::none,2024-04-01,All Day,,,,
NA::Lebanon - Easter::none,2024-04-01,All Day,,,,
NA::Lithuania - Easter::none,2024-04-01,All Day,,,,
NA::Luxembourg - Easter::none,2024-04-01,All Day,,,,
NA::Malta - Easter::none,2024-04-01,All Day,,,,
NA::Netherlands - Easter::none,2024-04-01,All Day,,,,
NA::New Zealand - Easter::none,2024-04-01,All Day,,,,
NA::Nigeria - Easter::none,2024-04-01,All Day,,,,
NA::Norway - Easter::none,2024-04-01,All Day,,,,
NA::Poland - Easter::none,2024-04-01,All Day,,,,
NA::Portugal - Easter::none,2024-04-01,All Day,,,,
NA::Rwanda - Easter::none,2024-04-01,All Day,,,,
NA::Slovakia - Easter::none,2024-04-01,All Day,,,,
NA::Slovenia - Easter::none,2024-04-01,All Day,,,,
NA::South Africa - Family Day::none,2024-04-01,All Day,,,,
NA::Spain - Easter::none,2024-04-01,All Day,,,,
NA::Sweden - Easter::none,2024-04-01,All Day,,,,
NA::Switzerland - Easter::none,2024-04-01,All Day,,,,
NA::Tanzania - Easter::none,2024-04-01,All Day,,,,
NA::United Kingdom - Easter::none,2024-04-01,All Day,,,,
NA::Zimbabwe - Easter::none,2024-04-01,All Day,,,,
BHD::CPI::m/m,2024-04-01,06:45,feb,0.20%,,0.60%
BHD::CPI::y/y,2024-04-01,06:45,feb,0.60%,,0.80%
JPY::Tankan All Big Industry CAPEX::none,2024-04-01,07:50,q1,4.0%,9.2%,13.2%
JPY::Tankan All Small Industry CAPEX::none,2024-04-01,07:50,q1,-3.6%,,8.3%
JPY::Tankan Big Manufacturing Outlook Index::none,2024-04-01,07:50,q1,10,11,8
JPY::Tankan Large Manufacturers Index::none,2024-04-01,07:50,q1,11,10,13
JPY::Tankan Large Non-Manufacturers Diffusion Index::none,2024-04-01,07:50,q1,27,30,27
JPY::Tankan Large Non-Manufacturers Index::none,2024-04-01,07:50,q1,34,31,32
JPY::Tankan Small Manufacturers Diffusion Index::none,2024-04-01,07:50,q1,0,,-1
JPY::Tankan Small Manufacturing Index::none,2024-04-01,07:50,q1,-1,-2,2
JPY::Tankan Small Non-Manufacturers Diffusion Index::none,2024-04-01,07:50,q1,8,,7
JPY::Tankan Small Non-Manufacturing Index::none,2024-04-01,07:50,q1,13,,14
KRW::Exports::y/y,2024-04-01,08:00,mar,3.1%,5.2%,4.8%
KRW::Imports::y/y,2024-04-01,08:00,mar,-12.3%,-8.1%,-13.1%
KRW::Trade Balance::none,2024-04-01,08:00,mar,4.28B,5.75B,4.29B
KRW::S&P Global South Korea Manufacturing PMI::none,2024-04-01,08:30,mar,49.8,,50.7
SGD::URA Property Index::q/q,2024-04-01,08:30,q1,1.50%,,2.80%
IDR::Core Inflation::y/y,2024-04-01,12:00,mar,1.77%,1.70%,1.68%
IDR::Inflation::m/m,2024-04-01,12:00,mar,0.52%,0.39%,0.37%
IDR::Inflation::y/y,2024-04-01,12:00,mar,3.05%,2.91%,2.75%
PEN::CPI::m/m,2024-04-01,13:25,mar,1.01%,,0.56%
PHP::Budget Balance::none,2024-04-01,14:45,feb,-164.7B,,88.0B
EUR::Greek Unemployment Rate::none,2024-04-01,17:00,feb,11.0%,,10.6%
ILS::Industrial Output::m/m,2024-04-01,18:00,jan,3.8%,,-1.6%
EUR::Car Registration::m/m,2024-04-01,18:00,mar,16.60%,,18.40%
EUR::Car Registration::y/y,2024-04-01,18:00,mar,-4.70%,,9.90%
BRL::BCB Focus Market Readout::none,2024-04-01,19:25,,,,
CLP::Economic Activity::y/y,2024-04-01,19:30,feb,4.5%,,2.3%
USD::Construction Spending::m/m,2024-04-01,22:00,feb,-0.3%,0.7%,-0.2%
USD::ISM Manufacturing Employment::none,2024-04-01,22:00,mar,47.4,47.5,45.9
USD::ISM Manufacturing New Orders Index::none,2024-04-01,22:00,mar,51.4,49.8,49.2
USD::ISM Manufacturing PMI::none,2024-04-01,22:00,mar,50.3,48.5,47.8
USD::ISM Manufacturing Prices::none,2024-04-01,22:00,mar,55.8,53.3,52.5
CAD::BoC Business Outlook Survey::none,2024-04-01,22:30,,,,
EGP::M2 Money Supply::y/y,2024-04-01,23:10,feb,16.64%,,16.59%
USD::3-Month Bill Auction::none,2024-04-01,23:30,,5.230%,,5.230%
USD::6-Month Bill Auction::none,2024-04-01,23:30,,5.125%,,5.105%
NA::Argentina - Malvinas Day::none,2024-04-02,All Day,,,,
USD::Atlanta Fed GDPNow::none,2024-04-02,02:00,q1,2.8%,2.3%,2.3%
AUD::RBA Assist Gov Kent Speaks::none,2024-04-02,06:10,,,,
USD::Fed Governor Cook Speaks::none,2024-04-02,06:50,,,,
KRW::CPI::m/m,2024-04-02,07:00,mar,0.1%,0.3%,0.5%
KRW::CPI::y/y,2024-04-02,07:00,mar,3.1%,3.1%,3.1%
GBP::BRC Shop Price Index::y/y,2024-04-02,07:00,,1.3%,2.2%,2.5%
JPY::Monetary Base::y/y,2024-04-02,07:50,mar,1.2%,2.5%,2.1%
AUD::MI Inflation Gauge::m/m,2024-04-02,08:00,,0.1%,,-0.1%
AUD::ANZ Job Advertisements::m/m,2024-04-02,08:30,,-1.0%,,-2.1%
AUD::RBA Meeting Minutes::none,2024-04-02,08:30,,,,
PHP::Philippines PPI::y/y,2024-04-02,09:00,feb,-1.2%,,-1.1%
JPY::10-Year JGB Auction::none,2024-04-02,11:35,,0.753%,,0.718%
EUR::Dutch Retail Sales::y/y,2024-04-02,12:30,feb,5.0%,,2.4%
RON::PPI::y/y,2024-04-02,14:00,feb,-6.30%,,-5.95%
GBP::Nationwide HPI::m/m,2024-04-02,14:00,mar,-0.2%,0.4%,0.7%
GBP::Nationwide HPI::y/y,2024-04-02,14:00,mar,1.6%,2.4%,1.2%
HUF::Trade Balance (EUR)::m/m,2024-04-02,14:30,jan,583.0M,497.0M,-271.0M
HUF::PPI::y/y,2024-04-02,14:30,feb,-4.3%,,-6.8%
CHF::Retail Sales::y/y,2024-04-02,14:30,feb,-0.2%,0.4%,0.3%
AUD::Commodity Prices::y/y,2024-04-02,14:30,mar,-15.3%,,-15.3%
SEK::Manufacturing PMI::none,2024-04-02,14:30,mar,50.0,,49.2
EUR::Austrian Unemployment Change::none,2024-04-02,15:00,mar,291.5K,,321.7K
EUR::Austrian Unemployment Rate::none,2024-04-02,15:00,mar,6.9%,,7.6%
HUF::Manufacturing PMI::none,2024-04-02,15:00,mar,52.3,,52.3
EUR::Spanish Unemployment Change::none,2024-04-02,15:00,mar,-33.4K,10.0K,-7.5K
CHF::Manufacturing PMI::none,2024-04-02,15:30,mar,45.2,45.0,44.0
EUR::Baden Wuerttemberg CPI::m/m,2024-04-02,16:00,mar,0.5%,,0.3%
EUR::Baden Wuerttemberg CPI::y/y,2024-04-02,16:00,mar,2.3%,,2.7%
EUR::Bavaria CPI::m/m,2024-04-02,16:00,mar,0.4%,,0.5%
EUR::Bavaria CPI::y/y,2024-04-02,16:00,mar,2.3%,,2.6%
EUR::Brandenburg CPI::m/m,2024-04-02,16:00,mar,0.4%,,0.5%
EUR::Brandenburg CPI::y/y,2024-04-02,16:00,mar,2.8%,,3.5%
EUR::Hesse CPI::m/m,2024-04-02,16:00,mar,0.3%,,0.5%
EUR::Hesse CPI::y/y,2024-04-02,16:00,mar,1.6%,,2.1%
NOK::Manufacturing PMI::none,2024-04-02,16:00,mar,50.8,,52.0
EUR::North Rhine Westphalia CPI::m/m,2024-04-02,16:00,mar,0.3%,,0.6%
EUR::North Rhine Westphalia CPI::y/y,2024-04-02,16:00,mar,2.3%,,2.6%
EUR::Saxony CPI::m/m,2024-04-02,16:00,mar,0.4%,,0.3%
EUR::Saxony CPI::y/y,2024-04-02,16:00,mar,2.5%,,3.0%
GBP::BoE Consumer Credit::none,2024-04-02,16:30,feb,1.378B,1.600B,1.770B
GBP::M3 Money Supply::none,2024-04-02,16:30,feb,"3,011.7B",,"2,996.0B"
GBP::M4 Money Supply::m/m,2024-04-02,16:30,feb,0.5%,0.2%,-0.1%
GBP::Mortgage Approvals::none,2024-04-02,16:30,feb,60.38K,57.00K,56.09K
GBP::Mortgage Lending::none,2024-04-02,16:30,feb,1.51B,-0.15B,-1.07B
GBP::Net Lending to Individuals::none,2024-04-02,16:30,,2.888B,1.200B,0.697B
ZAR::Manufacturing PMI::none,2024-04-02,17:00,mar,49.2,,51.7
EUR::German 2-Year Schatz Auction::none,2024-04-02,17:30,,2.840%,,2.800%
EUR::Irish HICP::m/m,2024-04-02,18:00,,0.3%,,1.1%
EUR::Irish HICP::y/y,2024-04-02,18:00,,1.7%,,2.3%
BRL::Bank lending::m/m,2024-04-02,19:30,feb,0.2%,,-0.3%
BRL::Brazilian PPI::m/m,2024-04-02,20:00,feb,0.06%,,-0.24%
CZK::Budget Balance::none,2024-04-02,20:00,mar,-105.000B,,-102.500B
EUR::German CPI::m/m,2024-04-02,20:00,mar,0.4%,0.5%,0.4%
EUR::German CPI::y/y,2024-04-02,20:00,mar,2.2%,2.2%,2.5%
EUR::German HICP::m/m,2024-04-02,20:00,mar,0.6%,0.7%,0.6%
EUR::German HICP::y/y,2024-04-02,20:00,mar,2.3%,2.4%,2.7%
ZAR::Total Vehicle Sales::none,2024-04-02,20:00,mar,44.24K,,44.75K
ZAR::Total Vehicle Sales::y/y,2024-04-02,20:00,mar,-11.70%,,-0.90%
USD::Redbook::y/y,2024-04-02,20:55,,5.2%,,3.9%
SGD::S&P Global Manufacturing PMI::none,2024-04-02,21:00,mar,50.7,,50.6
EUR::French 12-Month BTF Auction::none,2024-04-02,21:00,,3.413%,,3.436%
EUR::French 3-Month BTF Auction::none,2024-04-02,21:00,,3.815%,,3.844%
EUR::French 6-Month BTF Auction::none,2024-04-02,21:00,,3.722%,,3.690%
USD::Durables Excluding Defense::m/m,2024-04-02,22:00,feb,2.1%,,2.2%
USD::Durables Excluding Transport::m/m,2024-04-02,22:00,feb,0.3%,,-0.4%
USD::Factory Orders::m/m,2024-04-02,22:00,feb,1.4%,1.1%,-3.8%
USD::Factory orders ex transportation::m/m,2024-04-02,22:00,feb,1.1%,,-0.6%
USD::JOLTS Job Openings::none,2024-04-02,22:00,feb,8.756M,8.760M,8.748M
USD::FOMC Member Bowman Speaks::none,2024-04-02,22:10,,,,
NZD::GlobalDairyTrade Price Index::none,2024-04-02,23:00,,2.8%,,-2.8%
USD::Milk Auctions::none,2024-04-02,23:00,,"3,558.0",,"3,497.0"
USD::FOMC Member Williams Speaks::none,2024-04-03,00:00,,,,
USD::FOMC Member Mester Speaks::none,2024-04-03,00:05,,,,
USD::FOMC Member Daly Speaks::none,2024-04-03,01:30,,,,
USD::API Weekly Crude Oil Stock::none,2024-04-03,04:30,,-2.286M,-2.000M,9.337M
KRW::FX Reserves - USD::none,2024-04-03,05:00,mar,419.25B,,415.74B
CLP::Interest Rate Decision::none,2024-04-03,05:00,apr,6.50%,6.50%,7.25%
AUD::AIG Construction Index::none,2024-04-03,06:00,mar,-12.9,,-18.4
AUD::AIG Manufacturing Index::none,2024-04-03,06:00,mar,-7.0,,-12.6
USD::Total Vehicle Sales::none,2024-04-03,06:00,mar,15.50M,15.90M,15.80M
EUR::Dutch CPI::y/y,2024-04-03,12:30,,3.1%,,2.8%
EUR::French Government Budget Balance::none,2024-04-03,14:45,feb,-44.0B,,-25.7B
TRY::CPI::m/m,2024-04-03,15:00,mar,3.16%,3.50%,4.53%
TRY::CPI::y/y,2024-04-03,15:00,mar,68.50%,69.10%,67.07%
TRY::PPI::m/m,2024-04-03,15:00,mar,3.29%,,3.74%
TRY::PPI::y/y,2024-04-03,15:00,mar,51.47%,,47.29%
"TRY::Turkey CPI Ex E,F,B,T&G::m/m",2024-04-03,15:00,mar,3.5%,,3.6%
"TRY::Turkey CPI Ex E,F,B,T&G::y/y",2024-04-03,15:00,mar,75.2%,,72.9%
EUR::Austrian CPI::m/m,2024-04-03,15:00,,0.50%,,0.65%
EUR::Austrian CPI::y/y,2024-04-03,15:00,,4.20%,,4.31%
EUR::Austrian HICP::m/m,2024-04-03,15:00,,0.7%,,0.7%
EUR::Austrian HICP::y/y,2024-04-03,15:00,,4.2%,,4.2%
MUR::Interest Rate Decision::none,2024-04-03,15:30,q2,4.50%,,4.50%
EUR::Italian Monthly Unemployment Rate::none,2024-04-03,16:00,feb,7.5%,7.2%,7.3%
BRL::IPC-Fipe Inflation Index::m/m,2024-04-03,16:00,mar,0.26%,,0.46%
TWD::FX Reserves USD::none,2024-04-03,16:20,mar,568.10B,,569.42B
HKD::Retail Sales::y/y,2024-04-03,16:30,feb,1.9%,,0.9%
EUR::Unemployment Rate::none,2024-04-03,17:00,feb,6.5%,6.4%,6.5%
EUR::CPI::m/m,2024-04-03,17:00,mar,0.8%,,0.6%
EUR::CPI::y/y,2024-04-03,17:00,mar,2.4%,2.5%,2.6%
"EUR::CPI, n.s.a::none",2024-04-03,17:00,mar,125.33,,124.38
EUR::Core CPI::m/m,2024-04-03,17:00,mar,1.1%,,0.7%
EUR::Core CPI::y/y,2024-04-03,17:00,mar,2.9%,3.0%,3.1%
EUR::HICP ex Energy & Food::y/y,2024-04-03,17:00,mar,3.1%,,3.3%
EUR::HICP ex Energy and Food::m/m,2024-04-03,17:00,mar,1.0%,,0.6%
RUB::Russian Forex Intervention::none,2024-04-03,17:00,apr,235.3B,,93.7B
USD::OPEC Meeting::none,2024-04-03,17:15,,,,
EUR::German 10-Year Bund Auction::none,2024-04-03,17:30,,2.380%,,2.300%
EUR::Latvian Industrial Production::m/m,2024-04-03,18:00,feb,2.8%,,-2.7%
EUR::Latvian Industrial Production::y/y,2024-04-03,18:00,feb,-0.3%,,-5.0%
EGP::Foreign Reserves (USD)::none,2024-04-03,19:00,mar,40.36B,,35.31B
USD::MBA 30-Year Mortgage Rate::none,2024-04-03,19:00,,6.91%,,6.93%
USD::MBA Mortgage Applications::w/w,2024-04-03,19:00,,-0.6%,,-0.7%
USD::MBA Purchase Index::none,2024-04-03,19:00,,145.6,,145.7
USD::Mortgage Market Index::none,2024-04-03,19:00,,195.6,,196.8
USD::Mortgage Refinance Index::none,2024-04-03,19:00,,453.5,,460.9
INR::M3 Money Supply::none,2024-04-03,19:30,,11.2%,,11.3%
MXN::Gross Fixed Investments::m/m,2024-04-03,20:00,jan,0.10%,,0.00%
MXN::Gross Fixed Investments::y/y,2024-04-03,20:00,jan,15.30%,,13.40%
BRL::Industrial Production::m/m,2024-04-03,20:00,feb,-0.3%,0.3%,-1.5%
BRL::Industrial Production::y/y,2024-04-03,20:00,feb,5.0%,5.6%,3.7%
USD::ADP Nonfarm Employment Change::none,2024-04-03,20:15,mar,184K,148K,155K
USD::FOMC Member Bostic Speaks::none,2024-04-03,20:30,,,,
USD::All Car Sales::none,2024-04-03,20:40,mar,3.03M,,3.10M
USD::All Truck Sales::none,2024-04-03,20:40,mar,12.46M,,12.60M
USD::FOMC Member Bowman Speaks::none,2024-04-03,21:45,,,,
USD::ISM Non-Manufacturing Business Activity::none,2024-04-03,22:00,mar,57.4,56.7,57.2
USD::ISM Non-Manufacturing Employment::none,2024-04-03,22:00,mar,48.5,49.0,48.0
USD::ISM Non-Manufacturing New Orders::none,2024-04-03,22:00,mar,54.4,55.5,56.1
USD::ISM Non-Manufacturing PMI::none,2024-04-03,22:00,mar,51.4,52.8,52.6
USD::ISM Non-Manufacturing Prices::none,2024-04-03,22:00,mar,53.4,58.4,58.6
USD::Crude Oil Imports::none,2024-04-03,22:30,,0.075M,,1.124M
USD::Crude Oil Inventories::none,2024-04-03,22:30,,3.210M,-0.300M,3.165M
USD::Cushing Crude Oil Inventories::none,2024-04-03,22:30,,-0.377M,,2.107M
USD::Distillate Fuel Production::none,2024-04-03,22:30,,-0.208M,,0.124M
USD::EIA Refinery Crude Runs::w/w,2024-04-03,22:30,,-0.035M,,0.147M
USD::EIA Weekly Distillates Stocks::none,2024-04-03,22:30,,-1.268M,-0.604M,-1.185M
USD::EIA Weekly Refinery Utilization Rates::w/w,2024-04-03,22:30,,-0.1%,,0.9%
USD::Gasoline Inventories::none,2024-04-03,22:30,,-4.256M,-0.820M,1.299M
USD::Gasoline Production::none,2024-04-03,22:30,,0.767M,,-0.435M
USD::Heating Oil Stockpiles::none,2024-04-03,22:30,,-0.613M,,-0.609M
DKK::Currency Reserves::none,2024-04-03,23:00,mar,636.80B,,636.70B
KES::Interest Rate Decision::none,2024-04-03,23:30,apr,13.00%,,13.00%
RUB::Russian Real Wage Growth::y/y,2024-04-04,00:00,jan,8.5%,8.1%,8.5%
RUB::Retail Sales::y/y,2024-04-04,00:00,feb,12.3%,11.0%,9.1%
RUB::Unemployment Rate::none,2024-04-04,00:00,feb,2.8%,2.9%,2.9%
RUB::Business Confidence::none,2024-04-04,00:00,,6.0,,5.2
NA::China - Ching Ming Festival::none,2024-04-04,All Day,,,,
USD::Fed Goolsbee Speaks::none,2024-04-04,00:00,,,,
NA::Hong Kong - Ching Ming Festival::none,2024-04-04,All Day,,,,
NA::Taiwan - Children's Day::none,2024-04-04,All Day,,,,
USD::Fed Chair Powell Speaks::none,2024-04-04,00:10,,,,
USD::Fed Vice Chair for Supervision Barr Speaks::none,2024-04-04,01:10,,,,
RUB::GDP Monthly::y/y,2024-04-04,01:20,feb,7.7%,,4.6%
ARS::Tax Revenue::none,2024-04-04,03:00,mar,"7,726.00B",,"7,249.31B"
NZD::Building Consents::m/m,2024-04-04,05:45,feb,14.9%,,-8.6%
JPY::Foreign Bonds Buying::none,2024-04-04,07:50,,"-1,660.5B",,764.6B
JPY::Foreign Investments in Japanese Stocks::none,2024-04-04,07:50,,-441.3B,,-889.6B
AUD::RBA Assistant Governor Jones Speaks::none,2024-04-04,07:50,,,,
NZD::ANZ Commodity Price Index::m/m,2024-04-04,08:00,,-1.3%,,3.6%
AUD::Building Approvals::m/m,2024-04-04,08:30,feb,-1.9%,3.0%,-2.5%
AUD::Building Approvals::y/y,2024-04-04,08:30,feb,5.20%,,9.80%
AUD::Private House Approvals::none,2024-04-04,08:30,feb,10.7%,,-9.9%
JPY::30-Year JGB Auction::none,2024-04-04,11:35,,1.808%,,1.770%
TRY::Exports::none,2024-04-04,14:15,mar,22.58B,,21.86B
TRY::Trade Ministry Trade Balance::none,2024-04-04,14:15,mar,-7.52B,,-7.00B
HUF::Trade Balance (EUR)::m/m,2024-04-04,14:30,feb,"1,652.0M",,583.0M
CHF::CPI::m/m,2024-04-04,14:30,mar,0.0%,0.3%,0.6%
CHF::CPI::y/y,2024-04-04,14:30,mar,1.0%,1.3%,1.2%
SEK::Services PMI::m/m,2024-04-04,14:30,mar,53.9,,51.2
SEK::Swedish Monetary Policy Meeting Minutes::none,2024-04-04,15:30,,,,
EUR::PPI::m/m,2024-04-04,17:00,feb,-1.0%,-0.6%,-0.9%
EUR::PPI::y/y,2024-04-04,17:00,feb,-8.3%,-8.6%,-8.0%
NOK::House Price Index::y/y,2024-04-04,17:00,mar,1.20%,,4.90%
GBP::United Kingdom New Passenger Cars Registration::none,2024-04-04,17:00,mar,"317,786.0",,"84,886.0"
GBP::10-Year Treasury Gilt Auction::none,2024-04-04,17:00,,4.015%,,3.927%
EUR::French 10-Year OAT Auction::none,2024-04-04,17:00,,2.87%,,2.81%
EUR::French 15-Year OAT Auction::none,2024-04-04,17:00,,3.09%,,0.98%
EUR::French 30-Year OAT Auction::none,2024-04-04,17:00,,3.38%,,3.27%
EUR::Spanish 10-Year Obligacion Auction::none,2024-04-04,17:10,,3.190%,,3.162%
EUR::Spanish 15-Year Obligacion Auction::none,2024-04-04,17:35,,3.531%,,3.630%
EUR::Spanish 5-Year Bonos Auction::none,2024-04-04,17:35,,2.848%,,2.857%
EUR::Irish Unemployment::none,2024-04-04,18:00,,4.3%,,4.2%
EUR::Car Registration::m/m,2024-04-04,19:00,mar,2.40%,,-6.30%
EUR::Car Registration::y/y,2024-04-04,19:00,mar,-13.50%,,9.60%
EUR::French Car Registration::y/y,2024-04-04,19:15,,-1.5%,,13.0%
EUR::German Car Registration::y/y,2024-04-04,19:15,,-6.2%,,5.4%
BRL::Current Account (USD)::none,2024-04-04,19:30,feb,-4.37B,-3.55B,-5.07B
BRL::Foreign direct investment (USD)::none,2024-04-04,19:30,feb,5.01B,6.97B,8.74B
USD::Challenger Job Cuts::none,2024-04-04,19:30,mar,90.309K,,84.638K
USD::Challenger Job Cuts::y/y,2024-04-04,19:30,,0.7%,,8.8%
EUR::ECB Publishes Account of Monetary Policy Meeting::none,2024-04-04,19:30,,,,
TRY::Gross FX Reserves::none,2024-04-04,19:30,,68.75B,,70.68B
TRY::Net FX Reserves::none,2024-04-04,19:30,,15.45%,,15.21%
