EventId,Date,Time,Actual,Forecast,Previous
AUD::cftc aud speculative net positions::none,2008-03-15,03:30,31.7K,,37.4K
CAD::cftc cad speculative net positions::none,2008-03-15,03:30,28.9K,,36.4K
CHF::cftc chf speculative net positions::none,2008-03-15,03:30,-4.2K,,0.2K
EUR::cftc eur speculative net positions::none,2008-03-15,03:30,29.1K,,32.0K
GBP::cftc gbp speculative net positions::none,2008-03-15,03:30,21.2K,,15.7K
JPY::cftc jpy speculative net positions::none,2008-03-15,03:30,50.2K,,56.3K
MXN::cftc mxn speculative net positions::none,2008-03-15,03:30,73.7K,,112.9K
NZD::cftc nzd speculative net positions::none,2008-03-15,03:30,12.4K,,13.6K
USD::cftc silver speculative net positions::none,2008-03-15,03:30,51.0K,,50.6K
USD::cftc gold speculative net positions::none,2008-03-15,03:30,196.3K,,195.8K
USD::cftc crude oil speculative net positions::none,2008-03-15,04:30,115.1k,,102.1k
ILS::cpi::y/y,2008-03-15,23:00,3.6%,,3.5%
JPY::tertiary industry activity index::m/m,2008-03-17,07:50,0.7%,0.0%,-0.6%
CHF::retail sales::y/y,2008-03-17,16:15,1.3%,2.7%,1.2%
EUR::employment change::q/q,2008-03-17,18:00,0.2%,0.0%,0.3%
CAD::manufacturing sales::m/m,2008-03-17,20:30,1.30%,1.00%,-3.40%
CAD::new motor vehicle sales::m/m,2008-03-17,20:30,8.2%,6.2%,4.8%
USD::current account::none,2008-03-17,20:30,-173.0B,-184.0B,-179.0B
USD::ny empire state manufacturing index::none,2008-03-17,20:30,-22.2,-7.5,-11.7
USD::tic net long - term transactions::none,2008-03-17,21:00,62.0B,60.0B,56.5B
USD::capacity utilization rate::none,2008-03-17,21:15,80.9%,81.2%,81.5%
USD::industrial production::m/m,2008-03-17,21:15,-0.5%,-0.1%,0.1%
CHF::snb chairman roth speaks::none,2008-03-18,01:00,0.00,0.00,0.00
USD::nahb housing market index::none,2008-03-18,01:00,20,20,20
CHF::industrial production::q/q,2008-03-18,15:15,9.1%,8.2%,10.7%
EUR::italian trade balance::none,2008-03-18,17:00,-4.20B,0.00B,0.00B
GBP::cpi::y/y,2008-03-18,17:30,2.5%,2.5%,2.2%
GBP::core cpi::y/y,2008-03-18,17:30,1.2%,1.4%,1.3%
GBP::rpi::y/y,2008-03-18,17:30,4.1%,4.2%,4.1%
CAD::cpi::m/m,2008-03-18,19:00,0.4%,0.3%,-0.2%
CAD::core cpi::m/m,2008-03-18,19:00,0.5%,0.3%,0.1%
USD::ppi::m/m,2008-03-18,20:30,0.3%,0.3%,1.0%
USD::building permits::none,2008-03-18,20:30,0.980M,1.050M,1.060M
USD::core ppi::m/m,2008-03-18,20:30,0.5%,0.2%,0.4%
USD::housing starts::none,2008-03-18,20:30,1.070M,1.000M,1.010M
USD::fed interest rate decision::none,2008-03-19,02:15,2.25%,2.50%,3.00%
USD::discount rate::none,2008-03-19,02:15,2.50%,3.00%,3.50%
AUD::mi leading index::m/m,2008-03-19,07:30,-0.1%,0.0%,-0.2%
JPY::all industries activity index::m/m,2008-03-19,07:50,0.0%,0.1%,-0.2%
AUD::housing starts::q/q,2008-03-19,08:30,2.60%,1.50%,1.30%
NZD::credit card spending::y/y,2008-03-19,10:00,0.0%,0.0%,8.6%
GBP::average earnings index +bonus::none,2008-03-19,17:30,3.7%,3.8%,3.8%
GBP::boe mpc meeting minutes::none,2008-03-19,17:30,,,
GBP::claimant count change::none,2008-03-19,17:30,-2.8K,-5.0K,-10.8K
GBP::unemployment rate::none,2008-03-19,17:30,5.2%,5.2%,5.2%
EUR::trade balance::none,2008-03-19,18:00,-2.0B,-0.5B,-2.1B
GBP::cbi industrial trends orders::none,2008-03-19,19:00,7,0,3
CAD::wholesale sales::m/m,2008-03-19,20:30,2.6%,1.0%,-2.9%
USD::crude oil inventories::none,2008-03-19,22:30,0.100M,2.300M,6.200M
USD::fed's balance sheet::none,2008-03-20,04:30,888.65B,,896.57B
NZD::visitor arrivals::m/m,2008-03-20,05:45,5.3%,0.0%,0.0%
AUD::new motor vehicle sales::m/m,2008-03-20,08:30,-2.3%,0.0%,0.6%
EUR::german ppi::m/m,2008-03-20,15:00,0.7%,0.3%,0.8%
CHF::trade balance::none,2008-03-20,15:15,1.550B,0.000B,1.060B
CHF::ppi::m/m,2008-03-20,16:15,0.2%,0.3%,0.5%
EUR::italian quarterly unemployment rate::none,2008-03-20,17:00,6.1%,5.9%,5.9%
GBP::m4 money supply::m/m,2008-03-20,17:30,0.3%,1.0%,1.4%
GBP::public sector net borrowing::none,2008-03-20,17:30,2.7B,2.3B,-14.1B
GBP::retail sales::m/m,2008-03-20,17:30,1.0%,-0.1%,0.8%
CAD::foreign securities purchases::none,2008-03-20,20:30,0.90B,1.90B,1.20B
CAD::leading indicators::m/m,2008-03-20,20:30,-0.3%,0.1%,0.2%
USD::initial jobless claims::none,2008-03-20,20:30,378K,360K,353K
GBP::boe mpc member gieve speaks::none,2008-03-20,22:00,0.00,0.00,0.00
USD::philadelphia fed manufacturing index::none,2008-03-20,22:00,-17.0,-19.0,-24.0
USD::us leading index::m/m,2008-03-20,23:00,-0.3%,-0.3%,-0.4%
EUR::french consumer spending::m/m,2008-03-21,15:45,1.2%,0.4%,-1.2%
EUR::italian retail sales::m/m,2008-03-21,17:00,0.2%,0.1%,0.1%
USD::u.s. baker hughes oil rig count::none,2008-03-22,01:00,341,,343
AUD::cftc aud speculative net positions::none,2008-03-22,03:30,35.6K,,31.7K
CAD::cftc cad speculative net positions::none,2008-03-22,03:30,20.9K,,28.9K
CHF::cftc chf speculative net positions::none,2008-03-22,03:30,11.2K,,-4.2K
EUR::cftc eur speculative net positions::none,2008-03-22,03:30,26.5K,,29.1K
GBP::cftc gbp speculative net positions::none,2008-03-22,03:30,29.1K,,21.2K
JPY::cftc jpy speculative net positions::none,2008-03-22,03:30,55.8K,,50.2K
MXN::cftc mxn speculative net positions::none,2008-03-22,03:30,89.3K,,73.7K
NZD::cftc nzd speculative net positions::none,2008-03-22,03:30,10.4K,,12.4K
USD::cftc silver speculative net positions::none,2008-03-22,03:30,50.5K,,51.0K
USD::cftc gold speculative net positions::none,2008-03-22,03:30,192.0K,,196.3K
USD::cftc crude oil speculative net positions::none,2008-03-22,04:30,83.1k,,115.1k
JPY::bsi large manufacturing conditions::none,2008-03-24,07:50,-12.9,0.0,5.2
GBP::rightmove house price index::m/m,2008-03-24,08:00,0.8%,0.0%,3.2%
USD::existing home sales::none,2008-03-24,22:00,5.03M,4.85M,4.89M
NZD::credit card spending::y/y,2008-03-25,10:00,8.1%,0.0%,8.6%
NZD::westpac consumer sentiment::none,2008-03-25,20:00,96.5,0.0,110.0
CAD::core retail sales::m/m,2008-03-25,20:30,1.3%,0.5%,-0.4%
CAD::retail sales::m/m,2008-03-25,20:30,1.5%,1.4%,0.6%
USD::s&p/cs hpi composite - 20 n.s.a.::y/y,2008-03-25,21:00,-10.7%,-10.5%,-9.1%
USD::cb consumer confidence::none,2008-03-25,22:00,64.5,73.5,75.0
USD::richmond manufacturing index::none,2008-03-25,22:00,6,-5,-5
JPY::corporate services price index (cspi)::y/y,2008-03-26,07:50,0.7%,0.7%,0.8%
JPY::adjusted trade balance::none,2008-03-26,07:50,0.97T,0.77T,0.86T
EUR::current account::none,2008-03-26,17:00,-10.6B,0.0B,-10.3B
EUR::german ifo business climate index::none,2008-03-26,17:00,104.8,103.5,104.1
EUR::ecb president trichet speaks::none,2008-03-26,17:30,0.00,0.00,0.00
GBP::boe mpc treasury committee hearings::none,2008-03-26,17:30,0.00,0.00,0.00
EUR::industrial new orders::m/m,2008-03-26,18:00,2.0%,0.4%,-3.6%
USD::durable goods orders::m/m,2008-03-26,20:30,-1.7%,0.8%,-5.3%
USD::core durable goods orders::m/m,2008-03-26,20:30,-2.6%,-0.3%,-1.6%
USD::new home sales::none,2008-03-26,22:00,590K,578K,588K
USD::crude oil inventories::none,2008-03-26,22:30,0.100M,1.700M,0.200M
USD::fed's balance sheet::none,2008-03-27,04:30,893.97B,,888.65B
NZD::trade balance::m/m,2008-03-27,05:45,258M,180M,-316M
NZD::current account::q/q,2008-03-27,05:45,-3.40B,-3.50B,-5.20B
EUR::gfk german consumer climate::none,2008-03-27,15:00,4.6,4.4,4.5
GBP::business investment::q/q,2008-03-27,17:30,1.8%,-0.5%,-0.5%
GBP::gross mortgage approvals::none,2008-03-27,17:30,43.9K,0.0K,44.3K
GBP::cbi distributive trades survey::none,2008-03-27,19:00,1,0,-3
USD::fed governor kroszner speaks::none,2008-03-27,20:15,,,
EUR::core cpi::y/y,2008-03-27,20:30,2.5%,2.7%,2.7%
USD::gdp::q/q,2008-03-27,20:30,0.6%,0.6%,0.6%
USD::initial jobless claims::none,2008-03-27,20:30,366K,370K,378K
NZD::gdp::q/q,2008-03-28,05:45,1.0%,0.8%,0.5%
JPY::unemployment rate::none,2008-03-28,07:30,3.9%,3.8%,3.8%
JPY::household spending::y/y,2008-03-28,07:30,0.0%,2.5%,3.6%
JPY::national core cpi::y/y,2008-03-28,07:30,1.0%,0.9%,0.8%
JPY::tokyo core cpi::y/y,2008-03-28,07:30,0.6%,0.5%,0.4%
USD::fed governor mishkin speaks::none,2008-03-28,07:30,0.00,0.00,0.00
JPY::large retailers' sales::m/m,2008-03-28,07:50,1.30%,0.00%,-2.00%
JPY::retail sales::y/y,2008-03-28,07:50,3.1%,2.1%,1.3%
EUR::german import price index::m/m,2008-03-28,15:00,1.1%,0.6%,0.8%
GBP::nationwide hpi::m/m,2008-03-28,15:00,-0.5%,-0.3%,-0.6%
GBP::gdp::q/q,2008-03-28,17:30,0.6%,0.6%,0.6%
GBP::current account::none,2008-03-28,17:30,-8.5B,-18.3B,-20.0B
USD::core pce price index::m/m,2008-03-28,20:30,0.1%,0.1%,0.3%
USD::personal income::m/m,2008-03-28,20:30,0.5%,0.3%,0.3%
USD::personal spending::m/m,2008-03-28,20:30,0.1%,0.1%,0.4%
USD::michigan consumer sentiment::none,2008-03-28,22:00,69.5,70.0,70.5
USD::u.s. baker hughes oil rig count::none,2008-03-29,01:00,350,,341
AUD::cftc aud speculative net positions::none,2008-03-29,03:30,35.6K,,35.6K
CAD::cftc cad speculative net positions::none,2008-03-29,03:30,2.2K,,20.9K
CHF::cftc chf speculative net positions::none,2008-03-29,03:30,10.8K,,11.2K
EUR::cftc eur speculative net positions::none,2008-03-29,03:30,42.8K,,26.5K
GBP::cftc gbp speculative net positions::none,2008-03-29,03:30,19.7K,,29.1K
JPY::cftc jpy speculative net positions::none,2008-03-29,03:30,65.9K,,55.8K
MXN::cftc mxn speculative net positions::none,2008-03-29,03:30,103.9K,,89.3K
NZD::cftc nzd speculative net positions::none,2008-03-29,03:30,9.5K,,10.4K
USD::cftc silver speculative net positions::none,2008-03-29,03:30,40.0K,,50.5K
USD::cftc gold speculative net positions::none,2008-03-29,03:30,175.7K,,192.0K
USD::cftc crude oil speculative net positions::none,2008-03-29,04:30,45.0k,,83.1k
NZD::building consents::m/m,2008-03-31,05:45,-6.5%,0.0%,3.3%
AUD::mi inflation gauge::m/m,2008-03-31,07:30,0.4%,0.0%,0.3%
JPY::average cash earnings::y/y,2008-03-31,07:50,1.3%,0.0%,1.0%
JPY::industrial production::m/m,2008-03-31,07:50,-1.2%,0.0%,-2.2%
JPY::average cash earnings::y/y,2008-03-31,09:30,1.3%,0.6%,1.0%
JPY::housing starts::y/y,2008-03-31,13:00,-5.0%,-1.0%,-5.7%
EUR::m3 money supply::y/y,2008-03-31,16:00,11.3%,11.5%,11.5%
GBP::index of services::none,2008-03-31,16:30,0.5%,0.5%,0.6%
EUR::cpi::y/y,2008-03-31,17:00,3.5%,3.3%,3.2%
EUR::consumer confidence::none,2008-03-31,17:00,-12.0,-12.0,-12.0
EUR::italian cpi::m/m,2008-03-31,17:00,0.5%,0.2%,0.2%
CAD::gdp::m/m,2008-03-31,20:30,0.6%,0.4%,-0.7%
USD::chicago pmi::none,2008-03-31,21:45,48.2,46.0,44.5
USD::treasury secretary paulson speaks::none,2008-03-31,22:00,0.00,0.00,0.00
AUD::aig manufacturing index::none,2008-04-01,06:30,51.2,0.0,51.4
JPY::tankan large manufacturers index::none,2008-04-01,07:50,11,13,19
JPY::tankan large non - manufacturers index::none,2008-04-01,07:50,12,12,16
AUD::rba interest rate decision::none,2008-04-01,11:30,7.25%,7.25%,7.25%
EUR::german retail sales::m/m,2008-04-01,14:00,-1.6%,0.5%,0.7%
CHF::manufacturing pmi::none,2008-04-01,15:30,55.3,60.0,60.5
EUR::german unemployment rate::none,2008-04-01,15:55,7.9%,7.9%,8.0%
CAD::budget balance::none,2008-04-01,17:00,-1.20B,,3.02B
CAD::budget balance::y/y,2008-04-01,17:00,11.43B,,12.63B
CAD::cpi::y/y,2008-04-01,17:00,1.40%,,1.80%
CAD::exports::none,2008-04-01,17:00,40.13B,,39.00B
CAD::foreign securities purchases by canadians::none,2008-04-01,17:00,-3.23B,,6.34B
CAD::full employment change::none,2008-04-01,17:00,-31.50K,,60.20K
CAD::ippi::y/y,2008-04-01,17:00,0.00%,,-0.60%
CAD::imports::none,2008-04-01,17:00,34.41B,,35.22B
CAD::ivey pmi n.s.a::none,2008-04-01,17:00,59.00,,62.00
CAD::part time employment change::none,2008-04-01,17:00,16.10K,,-14.80K
CAD::participation rate::none,2008-04-01,17:00,67.70%,,67.70%
CAD::rmpi::y/y,2008-04-01,17:00,20.80%,,15.90%
CAD::core cpi::y/y,2008-04-01,17:00,1.30%,,1.50%
CHF::cpi::y/y,2008-04-01,17:00,2.60%,,2.40%
CHF::ppi::y/y,2008-04-01,17:00,3.90%,,3.60%
CHF::unemployment rate n.s.a.::none,2008-04-01,17:00,2.60%,,2.70%
CHF::kof leading indicators::none,2008-04-01,17:00,89.90,,93.50
EUR::italian business confidence::none,2008-04-01,17:00,105.40,,106.40
EUR::italian cpi::y/y,2008-04-01,17:00,3.30%,,2.90%
EUR::italian consumer confidence::none,2008-04-01,17:00,92.40,,95.30
EUR::italian hicp::m/m,2008-04-01,17:00,1.60%,,0.10%
EUR::italian hicp::y/y,2008-04-01,17:00,3.60%,,3.10%
EUR::italian industrial new orders::m/m,2008-04-01,17:00,-4.84%,,3.19%
EUR::italian industrial new orders::y/y,2008-04-01,17:00,-5.15%,,11.14%
EUR::italian industrial production::y/y,2008-04-01,17:00,0.60%,,0.70%
EUR::italian industrial sales::m/m,2008-04-01,17:00,-1.46%,,-0.43%
EUR::italian industrial sales::y/y,2008-04-01,17:00,-2.96%,,9.76%
EUR::italian monthly unemployment rate::none,2008-04-01,17:00,6.30%,,6.50%
EUR::italian ppi::m/m,2008-04-01,17:00,0.60%,,0.70%
EUR::italian ppi::y/y,2008-04-01,17:00,5.80%,,5.70%
EUR::italian retail sales::y/y,2008-04-01,17:00,-0.10%,,3.74%
EUR::italian trade balance eu::none,2008-04-01,17:00,0.97B,,1.07B
EUR::italian trade balance non - eu::none,2008-04-01,17:00,-1.40B,,-1.49B
EUR::italian wage inflation::m/m,2008-04-01,17:00,0.00%,,1.19%
EUR::italian wage inflation::y/y,2008-04-01,17:00,3.00%,,3.10%
GBP::average earnings ex bonus::none,2008-04-01,17:00,4.10%,,4.10%
GBP::boe consumer credit::none,2008-04-01,17:00,0.86B,,1.52B
GBP::core ppi output::m/m,2008-04-01,17:00,0.40%,,0.10%
GBP::core ppi output::y/y,2008-04-01,17:00,2.20%,,2.00%
GBP::core rpi::m/m,2008-04-01,17:00,0.50%,,0.80%
GBP::core rpi::y/y,2008-04-01,17:00,3.50%,,3.70%
GBP::industrial production::y/y,2008-04-01,17:00,-1.30%,,0.40%
GBP::manufacturing production::y/y,2008-04-01,17:00,-0.80%,,1.30%
GBP::mortgage lending::none,2008-04-01,17:00,5.68B,,6.01B
GBP::ppi input::y/y,2008-04-01,17:00,21.80%,,21.60%
GBP::ppi output::y/y,2008-04-01,17:00,5.90%,,5.40%
GBP::public sector net cash requirement::none,2008-04-01,17:00,12.09B,,2.45B
GBP::rpi::m/m,2008-04-01,17:00,0.30%,,0.80%
GBP::cpi::m/m,2008-04-01,17:00,0.40%,,0.70%
GBP::core retail sales::m/m,2008-04-01,17:00,-2.30%,,2.60%
GBP::core retail sales::y/y,2008-04-01,17:00,1.60%,,4.80%
GBP::halifax house price index::m/m,2008-04-01,17:00,-2.10%,,-0.60%
GBP::halifax house price index::y/y,2008-04-01,17:00,1.10%,,4.20%
GBP::nationwide hpi::y/y,2008-04-01,17:00,1.10%,,2.70%
GBP::retail sales::y/y,2008-04-01,17:00,4.60%,,5.50%
GBP::trade balance non - eu::none,2008-04-01,17:00,-5.06B,,-3.31B
INR::bank loan growth::none,2008-04-01,17:00,22.10%,,22.15%
INR::cash reserve ratio::none,2008-04-01,17:00,7.50%,,7.50%
KRW::cpi::m/m,2008-04-01,17:00,0.90%,,0.40%
KRW::cpi::y/y,2008-04-01,17:00,3.90%,,3.60%
KRW::current account::none,2008-04-01,17:00,0.83B,,-0.96B
KRW::export price index::y/y,2008-04-01,17:00,13.40%,,7.50%
KRW::exports::y/y,2008-04-01,17:00,18.40%,,18.90%
KRW::fx reserves - usd::none,2008-04-01,17:00,264.25B,,262.36B
KRW::import price index::y/y,2008-04-01,17:00,28.00%,,22.20%
KRW::imports::y/y,2008-04-01,17:00,26.70%,,28.40%
KRW::industrial production::m/m,2008-04-01,17:00,-0.90%,,1.20%
KRW::industrial production::y/y,2008-04-01,17:00,10.80%,,10.90%
KRW::interest rate decision::none,2008-04-01,17:00,5.00%,,5.00%
KRW::m2 money supply::none,2008-04-01,17:00,12.50%,,13.00%
KRW::manufacturing bsi index::none,2008-04-01,17:00,89.00,,89.00
KRW::ppi::m/m,2008-04-01,17:00,1.30%,,0.90%
KRW::ppi::y/y,2008-04-01,17:00,6.00%,,5.10%
KRW::service sector output::m/m,2008-04-01,17:00,-0.10%,,0.40%
KRW::trade balance::none,2008-04-01,17:00,0.00B,,-1.45B
KRW::unemployment rate::none,2008-04-01,17:00,3.10%,,3.00%
MXN::1st half - month cpi::none,2008-04-01,17:00,0.48%,,0.13%
MXN::1st half - month core cpi::none,2008-04-01,17:00,0.33%,,0.24%
MXN::consumer confidence::none,2008-04-01,17:00,102.20,,102.60
MXN::consumer confidence n.s.a.::none,2008-04-01,17:00,102.70,,101.00
MXN::core cpi::m/m,2008-04-01,17:00,0.49%,,0.43%
MXN::economic activity::m/m,2008-04-01,17:00,-0.61%,,0.11%
MXN::economic activity::y/y,2008-04-01,17:00,-1.49%,,4.61%
MXN::fiscal balance::none,2008-04-01,17:00,50.70B,,12.36B
MXN::gross fixed investments::m/m,2008-04-01,17:00,-1.77%,,2.27%
MXN::gross fixed investments::y/y,2008-04-01,17:00,-0.29%,,9.89%
MXN::industrial production::m/m,2008-04-01,17:00,-0.63%,,0.49%
MXN::industrial production::y/y,2008-04-01,17:00,-4.45%,,3.75%
MXN::retail sales::m/m,2008-04-01,17:00,0.36%,,-1.03%
MXN::trade balance::none,2008-04-01,17:00,1.24B,,-1.12B
MXN::trade balance (usd)::none,2008-04-01,17:00,-0.30B,,-1.30B
MXN::unemployment rate::none,2008-04-01,17:00,3.71%,,3.63%
MXN::unemployment rate n.s.a.::none,2008-04-01,17:00,3.61%,,3.89%
MXN::cpi::m/m,2008-04-01,17:00,0.72%,,0.30%
MXN::cpi::y/y,2008-04-01,17:00,4.25%,,3.72%
MXN::interest rate decision::none,2008-04-01,17:00,7.50%,,7.50%
SEK::cpif (cpi at constant interest rates)::m/m,2008-04-01,17:00,0.80%,,0.40%
SEK::cpif (cpi at constant interest rates)::y/y,2008-04-01,17:00,2.60%,,2.30%
SEK::consumer confidence::none,2008-04-01,17:00,99.00,,97.20
SEK::household lending growth::y/y,2008-04-01,17:00,11.23%,,11.28%
SEK::industrial new orders::y/y,2008-04-01,17:00,-2.69%,,1.03%
SEK::industrial production::m/m,2008-04-01,17:00,-1.60%,,-1.00%
SEK::industrial production::y/y,2008-04-01,17:00,-0.60%,,1.40%
SEK::manufacturing confidence::none,2008-04-01,17:00,1.00,,-1.00
SEK::manufacturing pmi::none,2008-04-01,17:00,54.70,,55.70
SEK::ppi::m/m,2008-04-01,17:00,-0.36%,,0.36%
SEK::ppi::y/y,2008-04-01,17:00,2.95%,,4.09%
SEK::retail sales::m/m,2008-04-01,17:00,-1.70%,,0.90%
SEK::retail sales::y/y,2008-04-01,17:00,-1.10%,,3.70%
SEK::services pmi::m/m,2008-04-01,17:00,54.30,,55.10
SEK::trade balance::none,2008-04-01,17:00,8.50B,,14.60B
SEK::unemployment rate::none,2008-04-01,17:00,6.30%,,6.10%
SEK::cpi::m/m,2008-04-01,17:00,0.90%,,0.40%
SEK::cpi::y/y,2008-04-01,17:00,3.40%,,3.10%
SEK::interest rate decision::none,2008-04-01,17:00,4.25%,,4.15%
USD::10 - year note auction::none,2008-04-01,17:00,3.50%,,3.50%
USD::core pce price index::y/y,2008-04-01,17:00,2.20%,,2.00%
USD::ism non - manufacturing prices::none,2008-04-01,17:00,69.80,,68.80
USD::jolts job openings::none,2008-04-01,17:00,4.01M,,4.04M
USD::all car sales::none,2008-04-01,17:00,7.28M,,7.24M
USD::all truck sales::none,2008-04-01,17:00,7.51M,,7.92M
USD::average weekly hours::none,2008-04-01,17:00,34.60,,34.50
USD::cb employment trends index::none,2008-04-01,17:00,120.70,,122.20
"USD::cpi index, n.s.a.::none",2008-04-01,17:00,213.53,,211.69
USD::chain store sales::m/m,2008-04-01,17:00,-0.50%,,1.90%
USD::chain store sales::w/w,2008-04-01,17:00,0.06%,,-0.11%
USD::chain store sales::y/y,2008-04-01,17:00,1.13%,,2.00%
USD::challenger job cuts::none,2008-04-01,17:00,53.58K,,72.09K
USD::chicago fed national activity::none,2008-04-01,17:00,-1.28,,-1.19
USD::cleveland cpi::m/m,2008-04-01,17:00,0.20%,,0.20%
USD::core cpi index::none,2008-04-01,17:00,214.42,,213.94
USD::dallas fed mfg business index::none,2008-04-01,17:00,-30.10,,-24.40
USD::dallas fed pce::none,2008-04-01,17:00,2.90%,,2.00%
USD::dallas fed services revenues::none,2008-04-01,17:00,1.90,,4.00
USD::domestic truck sales::none,2008-04-01,17:00,6.25M,,6.62M
USD::durables excluding defense::m/m,2008-04-01,17:00,-1.30%,,-2.10%
USD::eia weekly distillates stocks::none,2008-04-01,17:00,-2.06M,,-2.26M
USD::factory orders ex transportation::m/m,2008-04-01,17:00,1.20%,,-1.30%
USD::gasoline inventories::none,2008-04-01,17:00,-2.44M,,1.79M
USD::government payrolls::none,2008-04-01,17:00,26.00K,,29.00K
USD::house price index::none,2008-04-01,17:00,213.00,,214.90
USD::house price index::m/m,2008-04-01,17:00,-0.90%,,-0.50%
USD::house price index::y/y,2008-04-01,17:00,-6.20%,,-4.80%
USD::ism manufacturing new orders index::none,2008-04-01,17:00,45.60,,46.40
USD::ism non - manufacturing business activity::none,2008-04-01,17:00,51.70,,52.20
USD::ism non - manufacturing new orders::none,2008-04-01,17:00,49.30,,50.10
USD::ism - new york index::none,2008-04-01,17:00,422.90,,426.30
USD::jobless claims 4 - week avg.::none,2008-04-01,17:00,357.12K,,346.48K
USD::kc fed composite index::none,2008-04-01,17:00,-2.00,,2.00
USD::kc fed manufacturing index::none,2008-04-01,17:00,-3.00,,-1.00
USD::mba 30 - year mortgage rate::none,2008-04-01,17:00,5.95%,,6.00%
USD::mba purchase index::none,2008-04-01,17:00,373.91,,372.35
USD::manufacturing payrolls::none,2008-04-01,17:00,-37.00K,,-29.00K
USD::manufacturing production::m/m,2008-04-01,17:00,-0.30%,,-0.60%
USD::michigan current conditions::none,2008-04-01,17:00,84.20,,85.40
USD::midwest manufacturing::none,2008-04-01,17:00,99.80,,100.50
USD::mortgage market index::none,2008-04-01,17:00,743.58,,822.29
USD::mortgage refinance index::none,2008-04-01,17:00,"2,909.41",,"3,446.19"
USD::nfib small business optimism::none,2008-04-01,17:00,89.60,,92.90
USD::natural gas storage::none,2008-04-01,17:00,-56.86B,,-147.14B
USD::overall net capital flow::none,2008-04-01,17:00,-52.20B,,44.40B
USD::pending home sales index::none,2008-04-01,17:00,82.80,,87.80
USD::philly fed business conditions::none,2008-04-01,17:00,5.00,,-12.40
USD::philly fed capex index::none,2008-04-01,17:00,3.70,,6.30
USD::philly fed new orders::none,2008-04-01,17:00,-6.60,,-9.90
USD::philly fed prices paid::none,2008-04-01,17:00,52.10,,49.40
USD::real earnings::m/m,2008-04-01,17:00,0.40%,,0.10%
USD::real personal consumption::m/m,2008-04-01,17:00,0.20%,,-0.30%
USD::redbook::m/m,2008-04-01,17:00,1.70%,,-1.16%
USD::redbook::y/y,2008-04-01,17:00,1.11%,,0.46%
USD::retail sales ex gas/autos::m/m,2008-04-01,17:00,0.20%,,-0.80%
USD::richmond manufacturing shipments::none,2008-04-01,17:00,-6.00,,-14.00
USD::richmond services index::none,2008-04-01,17:00,-6.00,,-1.00
USD::s&p/cs hpi composite - 20 s.a.::m/m,2008-04-01,17:00,-1.70%,,-2.00%
USD::tic net long - term transactions including swaps::none,2008-04-01,17:00,49.50B,,32.40B
USD::texas services sector outlook::none,2008-04-01,17:00,-29.20,,-12.20
"USD::us foreign buying, t - bonds::none",2008-04-01,17:00,51.00B,,12.20B
USD::5 - year note auction::none,2008-04-01,17:00,2.50%,,2.75%
USD::continuing jobless claims::none,2008-04-01,17:00,"2,926.38K",,"2,856.19K"
USD::existing home sales::m/m,2008-04-01,17:00,1.00%,,-1.20%
USD::export price index::m/m,2008-04-01,17:00,1.60%,,0.90%
USD::federal budget balance::none,2008-04-01,17:00,-48.20B,,-175.60B
USD::housing starts::m/m,2008-04-01,17:00,-8.90%,,1.80%
USD::ism manufacturing employment::none,2008-04-01,17:00,48.20,,45.80
USD::ism non - manufacturing employment::none,2008-04-01,17:00,47.40,,47.30
USD::michigan 1 - year inflation expectations::none,2008-04-01,17:00,4.30%,,3.60%
USD::michigan 5 - year inflation expectations::none,2008-04-01,17:00,2.90%,,3.00%
USD::michigan consumer expectations::none,2008-04-01,17:00,61.40,,62.40
USD::new home sales::m/m,2008-04-01,17:00,-9.80%,,-5.40%
USD::philly fed employment::none,2008-04-01,17:00,-0.50,,4.30
USD::private nonfarm payrolls::none,2008-04-01,17:00,-105.00K,,-116.00K
USD::retail control::m/m,2008-04-01,17:00,0.30%,,-0.60%
USD::s&p/cs hpi composite - 20 n.s.a.::m/m,2008-04-01,17:00,-2.10%,,-2.60%
JPY::monetary base::y/y,2008-04-02,07:50,0.0%,0.0%,0.1%
GBP::housing equity withdrawal::q/q,2008-04-02,16:30,7.3B,9.6B,10.5B
GBP::mortgage approvals::none,2008-04-02,16:30,73K,72K,74K
GBP::net lending to individuals::none,2008-04-02,16:30,9.7B,8.1B,8.3B
EUR::ppi::m/m,2008-04-02,17:00,0.6%,0.5%,0.8%
USD::adp nonfarm employment change::none,2008-04-02,20:15,8K,-40K,-23K
USD::fed chairman bernanke speaks::none,2008-04-02,21:30,0.00,0.00,0.00
USD::factory orders::m/m,2008-04-02,22:00,-1.3%,-0.8%,-2.5%
USD::crude oil inventories::none,2008-04-02,22:30,1.900M,0.000M,0.000M
USD::fed's balance sheet::none,2008-04-03,04:30,883.71B,,893.97B
AUD::aig services index::none,2008-04-03,06:30,53.8,0.0,53.2
NZD::anz commodity price index::m/m,2008-04-03,10:00,2.0%,0.0%,0.9%
EUR::retail sales::m/m,2008-04-03,17:00,-0.5%,0.2%,0.4%
USD::initial jobless claims::none,2008-04-03,20:30,407K,366K,366K
USD::ism non - manufacturing pmi::none,2008-04-03,22:00,49.6,48.5,49.3
AUD::retail sales::m/m,2008-04-04,09:30,-0.1%,0.3%,0.0%
CHF::cpi::m/m,2008-04-04,13:45,0.3%,0.2%,0.1%
